TITLE: Bill of Materials,,,,,,,,,
DATE: 11/04/2016,,,,,,,,,
DESIGN: pc053a_toplevel,,,,,,,,,
TEMPLATE: P:\cad\designs\uob-hep-pc053a\trunk\design_files\worklib\pc053a_toplevel\bom\myBOM.bom,,,,,,,,,
CALLOUT: bom.callouts,,,,,,,,,
,,,,,,,,,
Part Name,Ref Des,Qty,Unit Price,Cost,PART_NUMBER,MANUFACTURER,DESCRIPTION,MOUNTED,
24AA025E48T-I/SN,IC2,1,?,?,24AA025E48T-I/SN,MICROCHIP,2K I2C Serial EEPROM with EUI-48 Node Identity,?,
74LCX04MTC,IC9,1,?,?,74LCX04MTC,FAIRCHILD SEMICONDUCTOR,Low Voltage Hex Inverter with 5V Tolerant Inputs ,?,
ADCMP604BKSZ,IC5-IC7,3,?,?,ADCMP604BKSZ,ANALOG DEVICES,Rail-to-Rail Very Fast 2.5V to 5.5V Single-Supply LVDS Comparator,?,
ADN2814ACPZ,IC12,1,?,?,ADN2814ACPZ,ANALOG DEVICES,Continuous Rate 10Mb/s to 675Mb/s Clock and Data Recovery IC with Integrated Limiting Amp,?,
"CAPCERSMDCL2_0402-1.0NF,50V_GEN","C30,C34,C37,C41",4,?,?,CC0402_1NF_50V_10%_X7R,GENERIC,SMD X7R Ceramic Capacitor,?,
"CAPCERSMDCL2_0402-100NF,16V_GEN","C1-C9,C11,C13-C20,C29,C31-C33,C36,C38,C40,C42,C45-C49,C61-C63,C69-C72,C107,C117",40,?,?,CC0402_100NF_16V_10%_X7R,GENERIC,SMD X7R Ceramic Capacitor,?,
"CAPCERSMDCL2_0402-100NF_X7R,16V","C10,C21-C28,C50-C60,C65-C68",24,?,?,CC0402_100NF_16V_10%_X7R,GENERIC,SMD X7R Ceramic Capacitor,?,
"CAPCERSMDCL2_0603-1.5UF,6.3V","C43,C44",2,?,?,CC0603_1.5UF_6V3_10%_X5R,GENERIC,SMD X5R Ceramic Capacitor,?,
"CAPCERSMDCL2_0603-10UF_X5R,6.3V",C64,1,?,?,CC0603_10UF_6V3_5%_X5R,GENERIC,SMD X5R Ceramic Capacitor,?,
"CAPCERSMDCL2_0603-470NF,6.3V",C39,1,?,?,CC0603_470NF_6V3_10%_X5R,GENERIC,SMD X5R Ceramic Capacitor,?,
"CAPCERSMDCL2_0805-10UF,16V",C35,1,?,?,C0805C106K4PAC,KEMET,SMD X5R Ceramic Capacitor,?,
"CAPCERSMDCL2_0805-2.2UF,10V_GEN",C12,1,?,?,CC0805_2.2UF_10V_+80%-20%_Y5V,GENERIC,SMD Y5V Ceramic Capacitor,?,
CON20P_SFP-1888247-1,J4,1,?,?,1888247-1,TYCO,20 Positions 0.8mm Pitch SMD Right Angle Receptacle Connector for SFP/SFP+ (Up to 16Gb/s),?,
CON3P-MTLW-103-07-L-S-250,"J2,J3,J5,J6,J8",5,?,?,MTLW-103-07-L-S-250,SAMTEC,3 Contacts 2.54mm Pitch Single Row Vertical 0.25 Square Post Header - Insulator 1.52mm,?,
CON400P_40ABCDEFGHJK-SEAM-40-03.5-S-10-2-A-K-TR,P1,1,?,?,SEAM-40-03.5-S-10-2-A-K-TR,SAMTEC,400 Pins 1.27mm Pitch 6.1mm Height High Speed/High Density Open Field - SEAM Series,?,
CON8P-44661-1011,J1,1,?,?,44661-1011,MOLEX,8 Contacts Shielded Low Profile Right Angle Modular Jack,?,
DS90LV028A_SOIC,IC8,1,?,?,08.DS90LV028ATM,NATIONAL SEMICONDUCTOR,?,?,
DSC1123CI5-40.0000,QZ1,1,?,?,DSC1123CI5-40.0000,Micrel,3.3V 100ppm 3.2x2.5mm SMD LVDS Oscillator - DSC1103  Series,?,
INDUCTANCE_LQH32C_23-4.7UH,"L1,L2",2,?,?,LQH32CN4R7M23,MURATA,Chip Coils for Choke Wire Wound,?,
LGL29K-G2J1-24,LD1-LD3,3,?,?,LGL29K-G2J1-24,OSRAM,1.7 x 0.8mm SMD Chip Led Green,?,
NBSG53AMNG,IC3,1,?,?,NBSG53AMNG,ON SEMICONDUCTOR,2.5V/3.3V SiGe Selectable Differential Clock and Data Flip-Flop/Clock Divider with Reset and OLS,?,
PCA9306DCU,IC1,1,?,?,PCA9306DCU,TEXAS INSTRUMENTS,Dual Bidirectional I2C Bus and SMBus Voltage-Level Translator,?,
PCA9517DGKR,IC15,1,?,?,PCA9517DGKR,TEXAS INSTRUMENTS,Level-Translating I2C Bus Repeater,?,
PCOAX-U.FL-R-SMT-1(10),PX1-PX6,6,?,?,U.FL-R-SMT-1(10),HIROSE,Ultra Small Surface Mount Coaxial Connector - U.FL Series,?,
"RSMD0402_1/16W-100,1%","R7-R9,R11,R18",5,?,?,R0402_100R_1%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-150,1%","R5,R6",2,?,?,R0402_150R_1%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-1K,1%","R10,R17,R19-R21,R44",6,?,?,R0402_1K_1%_0.063W_100PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-200K,1%",R1,1,?,?,R0402_200K_1%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-2K,1%","R2,R3",2,?,?,R0402_2K_1%_0.063W_100PPM,GENERIC,SMD Resistor,YES,
"RSMD0402_1/16W-2K,1%","R32,R33,R36,R38",4,?,?,R0402_2K_1%_0.063W_100PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-2K,1%","R4,R57",2,?,?,R0402_2K_1%_0.063W_100PPM,GENERIC,SMD Resistor,NO,
"RSMD0402_1/16W-3.0K,1%","R35,R37",2,?,?,R0402_3K0_1%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-33,1%",R26,1,?,?,R0402_33R_1%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-4.7K,1%","R13-R16,R23,R25,R28,R29,R39-R43,R103,R138,R140,R142,R143,R242,R411,R1328",21,?,?,R0402_4K7_1%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-4.7K,1%","R22,R24",2,?,?,R0402_4K7_1%_0.063W_200PPM,GENERIC,SMD Resistor,NO,
"RSMD0402_1/16W-51R,5%","R45,R46",2,?,?,R0402_51R_5%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0402_1/16W-750,1%","R50,R51,R56",3,?,?,R0402_750R_1%_0.063W_200PPM,GENERIC,SMD Resistor,?,
"RSMD0603_-00,","R12,R34,R52-R55",6,?,?,R0603_00_JUMPER,GENERIC,0603 Size SMD Jumper,?,
"RSMD0603_1/10W-33,1%",R47-R49,3,?,?,R0603_33R_1%_0.1W_100PPM,GENERIC,SMD Resistor,?,
"RSMD0603_1/10W-51,1%","R27,R30,R31",3,?,?,R0603_51R_1%_0.1W_100PPM,GENERIC,SMD Resistor,?,
SFP_CAGE-SP-74737-004,SFP1,1,?,?,74737-004,MOLEX,SFP One Piece Cage Press Fit Legs Belly-to-Belly Assembly,?,
SI5344B-B-GM,IC4,1,?,?,Si5344B-B-GM,SILICON LABS,"350MHz (Integer+Fractional), 10-Channel, Any-Frequency, Any-Output Jitter Attenuator/Clock Multiplier",?,
SN74AVC1T45DCKR,"IC14,IC16",2,?,?,SN74AVC1T45DCKR,TEXAS INSTRUMENTS,ingle-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,?,Use part SN74AVC1T45DBVR
SN74AVC4T245PW,IC10,1,?,?,SN74AVC4T245PW,TEXAS INSTRUMENTS,4-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,?,
SN74LVC2GU04DCK,IC11,1,?,?,SN74LVC2GU04DCK,TEXAS INSTRUMENTS,Dual Inverter Gate,?,
SY58608UMG,"IC13,IC17",2,?,?,SY58608UMG,MICREL,"3.2Gbps Precision, 1:2 LVDS Fanout Buffer with Internal Termination and Fail Safe Input",?,
TPS799185DDCTG4,REG1,1,?,?,TPS799185DDCTG4,TEXAS INSTRUMENTS,"200mA, Low Quiescent Current, Ultra-Low Noise, High PSRR Low Dropout Linear Regulator",?,
TP_HOLE-0.8MM,TP1-TP11,11,?,?,TP_HOLE_0.8mm,?,Stand-Alone 0.8mm Hole for Test Probe,NO,
TOTAL, ,189, ,0, , , , ,
